Survey;CellID;Location;Area
6;100744989;Riponne;Ville
6;4367617;Riponne;Ville
6;16870922;Riponne;Ville
6;16870921;Riponne;Ville
6;5150993;Riponne;Ville
6;5150985;Riponne;Ville
6;4367657;Riponne;Ville
6;18776325;Riponne;Ville
6;19261958;Riponne;Ville
6;18776321;Riponne;Ville
6;19262056;Riponne;Ville
6;19262058;Riponne;Ville
6;4491296;Riponne;Ville
6;4506399;Riponne;Ville
6;17942532;Riponne;Ville
6;5141000;Riponne;Ville
7;18965;Riponne;Ville
7;26575;Riponne;Ville
7;10075;Riponne;Ville
7;10077;Riponne;Ville
7;10886;Riponne;Ville
7;31062;Riponne;Ville
7;18968;Riponne;Ville
7;23192;Riponne;Ville
7;18965;Riponne;Ville
7;8954;Riponne;Ville
7;7406;Riponne;Ville
7;23183;Riponne;Ville
7;21522;Riponne;Ville
7;24263;Riponne;Ville
7;29190522;Riponne;Ville
7;6633473;Riponne;Ville
7;3309731;Riponne;Ville
7;3323055;Riponne;Ville
7;6627293;Riponne;Ville
7;62720707;Riponne;Ville
7;100744989;Riponne;Ville
7;4367617;Riponne;Ville
7;5150993;Riponne;Ville
7;16870922;Riponne;Ville
7;16870921;Riponne;Ville
7;5126400;Riponne;Ville
7;5150977;Riponne;Ville
7;4367657;Riponne;Ville
7;5150985;Riponne;Ville
7;19261956;Riponne;Ville
7;18776325;Riponne;Ville
7;19261958;Riponne;Ville
7;18776321;Riponne;Ville
7;19262056;Riponne;Ville
7;19262058;Riponne;Ville
7;4491296;Riponne;Ville
7;4506399;Riponne;Ville
7;17942532;Riponne;Ville
7;5141000;Riponne;Ville
7;17586435;Riponne;Ville
8;18965;Riponne;Ville
8;26575;Riponne;Ville
8;10075;Riponne;Ville
8;10886;Riponne;Ville
8;10077;Riponne;Ville
8;31062;Riponne;Ville
8;23192;Riponne;Ville
8;18965;Riponne;Ville
8;8954;Riponne;Ville
8;15652;Riponne;Ville
8;7406;Riponne;Ville
8;29190522;Riponne;Ville
8;6633473;Riponne;Ville
8;3309731;Riponne;Ville
8;3323055;Riponne;Ville
8;6627293;Riponne;Ville
8;62720707;Riponne;Ville
8;100744989;Riponne;Ville
8;5150981;Riponne;Ville
8;4367617;Riponne;Ville
8;5150993;Riponne;Ville
8;16870922;Riponne;Ville
8;16870921;Riponne;Ville
8;5150977;Riponne;Ville
8;5150985;Riponne;Ville
8;19261956;Riponne;Ville
8;18776325;Riponne;Ville
8;19262056;Riponne;Ville
8;19262058;Riponne;Ville
8;4491296;Riponne;Ville
8;4506399;Riponne;Ville
8;17942532;Riponne;Ville
8;5141000;Riponne;Ville
9;18965;Riponne;Ville
9;26575;Riponne;Ville
9;10075;Riponne;Ville
9;10886;Riponne;Ville
9;10077;Riponne;Ville
9;18606;Riponne;Ville
9;31062;Riponne;Ville
9;31013;Riponne;Ville
9;23192;Riponne;Ville
9;18965;Riponne;Ville
9;8954;Riponne;Ville
9;18625;Riponne;Ville
9;24263;Riponne;Ville
9;29190522;Riponne;Ville
9;6633473;Riponne;Ville
9;3309731;Riponne;Ville
9;3323055;Riponne;Ville
9;6627293;Riponne;Ville
9;62720707;Riponne;Ville
9;100744989;Riponne;Ville
9;5150981;Riponne;Ville
9;5150993;Riponne;Ville
9;4367617;Riponne;Ville
9;16870921;Riponne;Ville
9;16870922;Riponne;Ville
9;5150977;Riponne;Ville
9;5150985;Riponne;Ville
9;18776325;Riponne;Ville
9;19261958;Riponne;Ville
9;18776322;Riponne;Ville
9;18776321;Riponne;Ville
9;19262058;Riponne;Ville
9;19262056;Riponne;Ville
9;4354070;Riponne;Ville
9;4491296;Riponne;Ville
9;4506399;Riponne;Ville
9;17942532;Riponne;Ville
9;5141000;Riponne;Ville
10;18965;Riponne;Ville
10;26575;Riponne;Ville
10;10075;Riponne;Ville
10;31062;Riponne;Ville
10;10077;Riponne;Ville
10;10886;Riponne;Ville
10;18968;Riponne;Ville
10;31013;Riponne;Ville
10;23192;Riponne;Ville
10;18965;Riponne;Ville
10;8954;Riponne;Ville
10;7406;Riponne;Ville
10;6098;Riponne;Ville
10;29190522;Riponne;Ville
10;6633473;Riponne;Ville
10;3309731;Riponne;Ville
10;3323055;Riponne;Ville
10;6627293;Riponne;Ville
10;62720707;Riponne;Ville
10;100744989;Riponne;Ville
10;5150981;Riponne;Ville
10;5150993;Riponne;Ville
10;4367617;Riponne;Ville
10;16870922;Riponne;Ville
10;16870921;Riponne;Ville
10;5150977;Riponne;Ville
10;4367657;Riponne;Ville
10;5150985;Riponne;Ville
10;19261958;Riponne;Ville
10;19261956;Riponne;Ville
10;18776325;Riponne;Ville
10;18776322;Riponne;Ville
10;18776321;Riponne;Ville
10;19262058;Riponne;Ville
10;19262056;Riponne;Ville
10;4491296;Riponne;Ville
10;4506399;Riponne;Ville
10;17942532;Riponne;Ville
10;5141000;Riponne;Ville
11;18965;Riponne;Ville
11;26575;Riponne;Ville
11;10075;Riponne;Ville
11;31062;Riponne;Ville
11;10886;Riponne;Ville
11;10077;Riponne;Ville
11;18968;Riponne;Ville
11;31013;Riponne;Ville
11;18965;Riponne;Ville
11;8954;Riponne;Ville
11;23183;Riponne;Ville
11;18625;Riponne;Ville
11;24263;Riponne;Ville
11;29190522;Riponne;Ville
11;6633473;Riponne;Ville
11;3309731;Riponne;Ville
11;3323055;Riponne;Ville
11;6627293;Riponne;Ville
11;62720707;Riponne;Ville
11;100745824;Riponne;Ville
11;5150993;Riponne;Ville
11;4367617;Riponne;Ville
11;16870921;Riponne;Ville
11;16870922;Riponne;Ville
11;5150977;Riponne;Ville
11;5150985;Riponne;Ville
11;4367657;Riponne;Ville
11;19261956;Riponne;Ville
11;18776325;Riponne;Ville
11;19261958;Riponne;Ville
11;18776321;Riponne;Ville
11;19262056;Riponne;Ville
11;19262058;Riponne;Ville
11;4354070;Riponne;Ville
11;4491296;Riponne;Ville
11;4506399;Riponne;Ville
11;17942532;Riponne;Ville
11;5141000;Riponne;Ville
12;18965;Riponne;Ville
12;26575;Riponne;Ville
12;10075;Riponne;Ville
12;10886;Riponne;Ville
12;31062;Riponne;Ville
12;23192;Riponne;Ville
12;18606;Riponne;Ville
12;18965;Riponne;Ville
12;8954;Riponne;Ville
12;18957;Riponne;Ville
12;31361;Riponne;Ville
12;21522;Riponne;Ville
12;24263;Riponne;Ville
12;29190522;Riponne;Ville
12;6633473;Riponne;Ville
12;3309731;Riponne;Ville
12;3323055;Riponne;Ville
12;6627293;Riponne;Ville
12;62720707;Riponne;Ville
12;100744989;Riponne;Ville
12;5150981;Riponne;Ville
12;4367617;Riponne;Ville
12;16870922;Riponne;Ville
12;16870921;Riponne;Ville
12;5150977;Riponne;Ville
12;4367657;Riponne;Ville
12;5150985;Riponne;Ville
12;18776325;Riponne;Ville
12;19261958;Riponne;Ville
12;18776321;Riponne;Ville
12;19262058;Riponne;Ville
12;19262056;Riponne;Ville
12;4354070;Riponne;Ville
12;4491296;Riponne;Ville
12;4506399;Riponne;Ville
12;17942532;Riponne;Ville
12;5141000;Riponne;Ville
13;18965;Riponne;Ville
13;26575;Riponne;Ville
13;10075;Riponne;Ville
13;31062;Riponne;Ville
13;10886;Riponne;Ville
13;10077;Riponne;Ville
13;23192;Riponne;Ville
13;18968;Riponne;Ville
13;31013;Riponne;Ville
13;18965;Riponne;Ville
13;8954;Riponne;Ville
13;23183;Riponne;Ville
13;31361;Riponne;Ville
13;7406;Riponne;Ville
13;29190522;Riponne;Ville
13;6633473;Riponne;Ville
13;3309731;Riponne;Ville
13;3323055;Riponne;Ville
13;6627293;Riponne;Ville
13;62720707;Riponne;Ville
13;100744989;Riponne;Ville
13;5150981;Riponne;Ville
13;5150993;Riponne;Ville
13;16870921;Riponne;Ville
13;16870922;Riponne;Ville
13;5150977;Riponne;Ville
13;4367657;Riponne;Ville
13;5150985;Riponne;Ville
13;19261956;Riponne;Ville
13;18776325;Riponne;Ville
13;19261958;Riponne;Ville
13;18776321;Riponne;Ville
13;18776322;Riponne;Ville
13;4354070;Riponne;Ville
13;4491296;Riponne;Ville
13;4506399;Riponne;Ville
13;17942532;Riponne;Ville
13;5141000;Riponne;Ville
14;18965;Riponne;Ville
14;10075;Riponne;Ville
14;31062;Riponne;Ville
14;10077;Riponne;Ville
14;23192;Riponne;Ville
14;18968;Riponne;Ville
14;18965;Riponne;Ville
14;8954;Riponne;Ville
14;31361;Riponne;Ville
14;21522;Riponne;Ville
14;29190522;Riponne;Ville
14;6633473;Riponne;Ville
14;3309731;Riponne;Ville
14;3323055;Riponne;Ville
14;6627293;Riponne;Ville
14;62720707;Riponne;Ville
14;100744989;Riponne;Ville
14;5150981;Riponne;Ville
14;5150993;Riponne;Ville
14;4367617;Riponne;Ville
14;16870921;Riponne;Ville
14;16870922;Riponne;Ville
14;5150977;Riponne;Ville
14;4367657;Riponne;Ville
14;5150985;Riponne;Ville
14;18776325;Riponne;Ville
14;19261958;Riponne;Ville
14;19261956;Riponne;Ville
14;18776321;Riponne;Ville
14;19262058;Riponne;Ville
14;19262056;Riponne;Ville
14;4354070;Riponne;Ville
14;4366358;Riponne;Ville
14;4491296;Riponne;Ville
14;4506399;Riponne;Ville
14;17942532;Riponne;Ville
14;5141000;Riponne;Ville
15;18965;Riponne;Ville
15;10075;Riponne;Ville
15;10886;Riponne;Ville
15;18968;Riponne;Ville
15;31013;Riponne;Ville
15;8954;Riponne;Ville
15;29190522;Riponne;Ville
15;6633473;Riponne;Ville
15;3309731;Riponne;Ville
15;3323055;Riponne;Ville
15;6627293;Riponne;Ville
15;62720707;Riponne;Ville
15;100744989;Riponne;Ville
15;5150981;Riponne;Ville
15;5150993;Riponne;Ville
15;4367617;Riponne;Ville
15;16870921;Riponne;Ville
15;16870922;Riponne;Ville
15;4367657;Riponne;Ville
15;5150985;Riponne;Ville
15;18776325;Riponne;Ville
15;18776321;Riponne;Ville
15;19262058;Riponne;Ville
15;19262056;Riponne;Ville
15;4354070;Riponne;Ville
15;4491296;Riponne;Ville
15;17942532;Riponne;Ville
15;5141000;Riponne;Ville
1;10077;Chaudron;Ville
1;23183;Chaudron;Ville
1;10886;Chaudron;Ville
1;12651;Chaudron;Ville
1;24312;Chaudron;Ville
1;10075;Chaudron;Ville
1;10076;Chaudron;Ville
1;31013;Chaudron;Ville
1;15614;Chaudron;Ville
1;18903;Chaudron;Ville
1;6672894;Chaudron;Ville
1;9866038;Chaudron;Ville
1;29191463;Chaudron;Ville
1;3318675;Chaudron;Ville
1;6627293;Chaudron;Ville
1;100747102;Chaudron;Ville
1;62720707;Chaudron;Ville
1;17532676;Chaudron;Ville
1;17532679;Chaudron;Ville
1;17532673;Chaudron;Ville
1;5152273;Chaudron;Ville
1;4363797;Chaudron;Ville
1;4382210;Chaudron;Ville
1;4497921;Chaudron;Ville
1;4382250;Chaudron;Ville
1;4497951;Chaudron;Ville
1;17589254;Chaudron;Ville
1;5164809;Chaudron;Ville
1;5192714;Chaudron;Ville
1;18863719;Chaudron;Ville
2;10077;Chaudron;Ville
2;10886;Chaudron;Ville
2;24312;Chaudron;Ville
2;28492;Chaudron;Ville
2;31013;Chaudron;Ville
2;26182;Chaudron;Ville
2;37473;Chaudron;Ville
2;18903;Chaudron;Ville
2;6672894;Chaudron;Ville
2;3311542;Chaudron;Ville
2;3318675;Chaudron;Ville
2;29191463;Chaudron;Ville
2;6656424;Chaudron;Ville
2;62720707;Chaudron;Ville
